Index,Practitioner Name,Address,Phone,Email,Website,Google Maps URL
35,Divine Grace Reiki,10 Lynedoch Rd,+44 7588 406678,wendy@divinegrace.co.uk,http://www.divinegrace.co.uk/,https://www.google.com/maps/place/Divine+Grace+Reiki/data=!4m7!3m6!1s0x488625541dcf5d1f:0x8ae084604287c152!8m2!3d56.4168799!4d-3.5796523!16s%2Fg%2F11rsvs2gr8!19sChIJH13PHVQlhkgRUsGHQmCE4Io?authuser=0&hl=am&rclk=1
46,Crystal Clear Reiki,Hartland Dr,+44 7584 311112,info@crystalclearreiki.biz,https://www.crystalclearreiki.biz/,https://www.google.com/maps/place/Crystal+Clear+Reiki/data=!4m7!3m6!1s0x48766d60a14d8ce9:0xa4571640ea29a439!8m2!3d51.56251!4d-0.4011881!16s%2Fg%2F11hht1lyzn!19sChIJ6YxNoWBtdkgROaQp6kAWV6Q?authuser=0&hl=am&rclk=1
48,"Healing Energies, Wales",8 Church Row,+44 7967 200813,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,http://www.healingenergieswales.com/,"https://www.google.com/maps/place/Healing+Energies,+Wales/data=!4m7!3m6!1s0x486e4a9a6a63d78f:0x72e1c1fd835170d4!8m2!3d51.9397284!4d-3.5642654!16s%2Fg%2F11gfk02mlf!19sChIJj9djappKbkgR1HBRg_3B4XI?authuser=0&hl=am&rclk=1"
50,"Three Little Birds - Reiki Therapist London, Reiki Courses London, Reiki Healer Purley, Sound baths Purley, London, UK",Warren Rd,+44 7764 500784,amy@threelittlebirdsofficial.com,http://www.threelittlebirdsofficial.com/,"https://www.google.com/maps/place/Three+Little+Birds+-+Reiki+Therapist+London,+Reiki+Courses+London,+Reiki+Healer+Purley,+Sound+baths+Purley,+London,+UK/data=!4m7!3m6!1s0x4875fdde087c35b1:0xcbd10bea1ad07bcc!8m2!3d51.3373079!4d-0.1116981!16s%2Fg%2F11ld45jvz7!19sChIJsTV8CN79dUgRzHvQGuoL0cs?authuser=0&hl=am&rclk=1"
60,Ravens Retreat,11 Angel St,+44 7421 309945,joolz@ravensretreat.wales,https://www.ravensretreat.wales/,https://www.google.com/maps/place/Ravens+Retreat/data=!4m7!3m6!1s0x486e5d7590ae63b1:0xbfe7fee38043feca!8m2!3d51.6642243!4d-3.8058182!16s%2Fg%2F11fkqh63pk!19sChIJsWOukHVdbkgRyv5DgOP-578?authuser=0&hl=am&rclk=1
64,Relax with Reiki Light Pembrokeshire,29 Ffynnon Wen,+44 7477 685668,reikilightpembrokeshire@gmail.com,http://reikilightpembrokeshire.co.uk/,https://www.google.com/maps/place/Relax+with+Reiki+Light+Pembrokeshire/data=!4m7!3m6!1s0x48691fde768895bb:0x3fb675a4628c459a!8m2!3d51.87846!4d-5.2677518!16s%2Fg%2F11fpkm4vz1!19sChIJu5WIdt4faUgRmkWMYqR1tj8?authuser=0&hl=am&rclk=1
66,Shanti Holistic Therapy,Ty'r Odyn,+44 7939 997656,info@shantiholistictherapy.co.uk,https://www.shantiholistictherapy.co.uk/,https://www.google.com/maps/place/Shanti+Holistic+Therapy/data=!4m7!3m6!1s0x486fabeeecd720dd:0x2cf7865a4571cd51!8m2!3d52.0241835!4d-3.8787424!16s%2Fg%2F11t8gqkht5!19sChIJ3SDX7O6rb0gRUc1xRVqG9yw?authuser=0&hl=am&rclk=1
69,Canolfan Seren,Rhos Y Garth,+44 7796 186021,nia@canolfanseren.co.uk,http://www.canolfanseren.co.uk/,https://www.google.com/maps/place/Canolfan+Seren/data=!4m7!3m6!1s0x486f0b0e331fdded:0xae7dbcdac9cc4256!8m2!3d52.2551745!4d-4.0795457!16s%2Fg%2F11h04p2tt3!19sChIJ7d0fMw4Lb0gRVkLMydq8fa4?authuser=0&hl=am&rclk=1
70,Hope and Healing Reiki,8 Rest Bay Cl,+44 7492 742321,Noelledejorge@gmail.com,https://www.facebook.com/nellthespell/,https://www.google.com/maps/place/Hope+and+Healing+Reiki/data=!4m7!3m6!1s0x486e652aee41ccd7:0x5c46b9ee9950165c!8m2!3d51.4876122!4d-3.7202278!16s%2Fg%2F11rzcqf6tr!19sChIJ18xB7iplbkgRXBZQme65Rlw?authuser=0&hl=am&rclk=1
72,Anglesey Healing Centre,8 Fron Ogwen,+44 7771 280824,vivreiki@hotmail.com,http://www.angleseyhealingcentre.co.uk/,https://www.google.com/maps/place/Anglesey+Healing+Centre/data=!4m7!3m6!1s0x48650650b6c838a5:0x9ddd52cef4eb3897!8m2!3d53.185604!4d-4.080278!16s%2Fg%2F11f0wr3mcd!19sChIJpTjItlAGZUgRlzjr9M5S3Z0?authuser=0&hl=am&rclk=1
74,"Holistic Wishes, Hypnotherapy, Reiki and Meditation",23 2 Chepstow Rd,+44 7745 861213,typesetit@att.net,http://holisticwishes.com/,"https://www.google.com/maps/place/Holistic+Wishes,+Hypnotherapy,+Reiki+and+Meditation/data=!4m7!3m6!1s0x4871e70028fa870f:0x32bb363db2aaee42!8m2!3d51.5909697!4d-2.9893152!16s%2Fg%2F11w41yzggv!19sChIJD4f6KADncUgRQu6qsj02uzI?authuser=0&hl=am&rclk=1"
75,EJS Reiki Therapy,1 Pandy Rd,+44 7539 850430,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,https://www.ejsreiki.co.uk/,https://www.google.com/maps/place/EJS+Reiki+Therapy/data=!4m7!3m6!1s0x486e1f5248a6db01:0x13b009a2680256e4!8m2!3d51.5904845!4d-3.1995807!16s%2Fg%2F11x739_0z4!19sChIJAdumSFIfbkgR5FYCaKIJsBM?authuser=0&hl=am&rclk=1
76,SoulTree Therapies,"Meanwhile House Cardiff, Curran Embankment",+44 7864 179859,soultreetherapies@gmail.com,http://soultreetherapies.co.uk/,https://www.google.com/maps/place/SoulTree+Therapies/data=!4m7!3m6!1s0x486e1cc3956687b9:0x218bafa2488f3046!8m2!3d51.471895!4d-3.1792343!16s%2Fg%2F11ggz9sfvn!19sChIJuYdmlcMcbkgRRjCPSKKviyE?authuser=0&hl=am&rclk=1
