Index,Practitioner Name,Address,Phone,Email,Website,Google Maps URL
11,Helen Colgan Healing Heart,Helen Colgan Healing Heart,+353 86 809 2484,colganhelen@gmail.com,https://helencolganhealingheart.ie/,https://www.google.com/maps/place/Helen+Colgan+Healing+Heart/data=!4m7!3m6!1s0x486769eca96fadd5:0x3fa1f83837547a9b!8m2!3d53.46898!4d-6.6099233!16s%2Fg%2F11lqg6pb7y!19sChIJ1a1vqexpZ0gRm3pUNzj4oT8?authuser=0&hl=am&rclk=1
12,Reiki Love Club & Sound Healing School,"Unit B10, Whitecrook Business Centre, 78 Whitecrook St",,info@reikiloveclub.com,http://www.reikiloveclub.com/,https://www.google.com/maps/place/Reiki+Love+Club+%26+Sound+Healing+School/data=!4m7!3m6!1s0x48884f522c6eb865:0x47ca984cb5561654!8m2!3d55.9017368!4d-4.3993111!16s%2Fg%2F11q9s4hyf9!19sChIJZbhuLFJPiEgRVBZWtUyYykc?authuser=0&hl=am&rclk=1
13,Reiki IKIGAI THERAPY,Dummer Rd,+44 7971 680929,,http://ikigaitherapy.com/,https://www.google.com/maps/place/Reiki+IKIGAI+THERAPY/data=!4m7!3m6!1s0x4874190feeaff899:0x96bdc5525ffb58f0!8m2!3d51.1856331!4d-1.1332624!16s%2Fg%2F11h1knsyp6!19sChIJmfiv7g8ZdEgR8Fj7X1LFvZY?authuser=0&hl=am&rclk=1
14,Paulina Amora Healing - Goddess Temple Of Light,Tanyfron,+44 7505 592342,,http://www.amoraenergyhealing.co.uk/,https://www.google.com/maps/place/Paulina+Amora+Healing+-+Goddess+Temple+Of+Light/data=!4m7!3m6!1s0x487bad1246d702a7:0x1b2346ff1164b027!8m2!3d52.0977847!4d-4.4064327!16s%2Fg%2F11t2c_f5x5!19sChIJpwLXRhKte0gRJ7BkEf9GIxs?authuser=0&hl=am&rclk=1
15,Reiki Healing,2 Tircroghan,+353 89 200 2512,,http://www.reikihealing.ie/,https://www.google.com/maps/place/Reiki+Healing/data=!4m7!3m6!1s0x485d93c10f7b6fd7:0x2ec759d52a829887!8m2!3d53.4584596!4d-7.1110222!16s%2Fg%2F11q2vt6x8q!19sChIJ1297D8GTXUgRh5iCKtVZxy4?authuser=0&hl=am&rclk=1
16,Love and Light Scotland,Shepherd's Cottage,+44 7751 469126,namaste@loveandlightscotland.co.uk,http://www.loveandlightscotland.co.uk/,https://www.google.com/maps/place/Love+and+Light+Scotland/data=!4m7!3m6!1s0x4887118c0ab25cab:0x8e098a3ebc8b69c2!8m2!3d55.920647!4d-2.4062258!16s%2Fg%2F11mfz91vxf!19sChIJq1yyCowRh0gRwmmLvD6KCY4?authuser=0&hl=am&rclk=1
17,Reiki with Amanda - Manchester Reiki Master,,+44 7811 240211,,,https://www.google.com/maps/place/Reiki+with+Amanda+-+Manchester+Reiki+Master/data=!4m7!3m6!1s0x487bb0cfb1932041:0x2ebdfd55526799b4!8m2!3d53.5132565!4d-2.1725974!16s%2Fg%2F11c6132f9k!19sChIJQSCTsc-we0gRtJlnUlX9vS4?authuser=0&hl=am&rclk=1
18,Reiki Calm Minds,"BROADWAY BUNGALOW, St Marys Hill",+44 7795 844175,,https://www.reikicalmminds.co.uk/,https://www.google.com/maps/place/Reiki+Calm+Minds/data=!4m7!3m6!1s0x486e6ba07e39d86f:0xfc72f918f9883ff0!8m2!3d51.5028191!4d-3.4841389!16s%2Fg%2F11ls7ms90h!19sChIJb9g5fqBrbkgR8D-I-Rj5cvw?authuser=0&hl=am&rclk=1
19,Helens Healing Space,,+44 7876 146237,helenshealingspace@gmail.com,http://www.helenshealingspace.co.uk/,https://www.google.com/maps/place/Helens+Healing+Space/data=!4m7!3m6!1s0x486e1dce48ba0e4d:0x73da109c19629a23!8m2!3d51.490265!4d-3.133156!16s%2Fg%2F11j35428yw!19sChIJTQ66SM4dbkgRI5piGZwQ2nM?authuser=0&hl=am&rclk=1
20,Reiki Courses | Online Reiki Training in Reiki Solas,,+44 7572 500597,,https://selfhelphealing.thinkific.com/collections,https://www.google.com/maps/place/Reiki+Courses+%7C+Online+Reiki+Training+in+Reiki+Solas/data=!4m7!3m6!1s0x488832de71e8fb11:0x1ccc29a95fc06a2b!8m2!3d55.5095405!4d-4.354313!16s%2Fg%2F11g9mfj84p!19sChIJEfvocd4yiEgRK2rAX6kpzBw?authuser=0&hl=am&rclk=1
21,"My Spiritual Butterfly - Reiki Training Courses London, Reiki Healer, Reiki Therapist, Life Coach Croydon",Dalmally Rd,+44 7415 377535,,http://www.myspiritualbutterfly.com/,"https://www.google.com/maps/place/My+Spiritual+Butterfly+-+Reiki+Training+Courses+London,+Reiki+Healer,+Reiki+Therapist,+Life+Coach+Croydon/data=!4m7!3m6!1s0x487600de9ff6eb27:0x5efdcb2ecc90909a!8m2!3d51.3831909!4d-0.0751735!16s%2Fg%2F11crst8g_q!19sChIJJ-v2n94AdkgRmpCQzC7L_V4?authuser=0&hl=am&rclk=1"
22,Annette Ellis Reflexology & Energy Healing,"GROUND FLOOR, 105 Talbot Rd",+44 7809 829301,,http://www.ellisreflexology.co.uk/,https://www.google.com/maps/place/Annette+Ellis+Reflexology+%26+Energy+Healing/data=!4m7!3m6!1s0x486e13e3c961398b:0xe3bbfa2c5e7f3468!8m2!3d51.538105!4d-3.3824192!16s%2Fg%2F11c804nhtl!19sChIJizlhyeMTbkgRaDR_Xiz6u-M?authuser=0&hl=am&rclk=1
23,Transformational Holistics,"Room 27, Level 2, Strathmore House, 20 Princes Square",+44 7875 418822,caroline@transformationalholistics.uk,http://www.transformationalholistics.uk/,https://www.google.com/maps/place/Transformational+Holistics/data=!4m7!3m6!1s0x4888394eddbebba7:0x75f3cf0c16f8251e!8m2!3d55.7611751!4d-4.1784589!16s%2Fg%2F11pc1yf8gm!19sChIJp7u-3U45iEgRHiX4FgzP83U?authuser=0&hl=am&rclk=1
24,Enlightenment Energy Healing,5 Derreen Court,+353 85 158 1218,,https://www.instagram.com/enlightenment111?igsh=cnkxaWFtMnFtdW5y&utm_source=qr,https://www.google.com/maps/place/Enlightenment+Energy+Healing/data=!4m7!3m6!1s0x48678d0a6c756be7:0x73322ed2886adbcf!8m2!3d52.8668942!4d-6.5605084!16s%2Fg%2F11xdr4mw3h!19sChIJ52t1bAqNZ0gRz9tqiNIuMnM?authuser=0&hl=am&rclk=1
25,Clear Channel Reiki,Govan Rd,+44 7572 064208,ma_marilyn@hotmail.co.uk,https://www.clearchannelreiki.com/,https://www.google.com/maps/place/Clear+Channel+Reiki/data=!4m7!3m6!1s0x488845af17cbde83:0x8ff325ca17684690!8m2!3d55.8637395!4d-4.3128119!16s%2Fg%2F11h4ky2fq0!19sChIJg97LF69FiEgRkEZoF8ol848?authuser=0&hl=am&rclk=1
26,"Mila Wellbeing, Reiki Healer, Reiki Teacher, Intuitive Life Coach, Holistic Therapist, Remote Healer","Flat 2, 12 Hardwicks Square",+44 7598 404974,,http://www.milawellbeing.com/,"https://www.google.com/maps/place/Mila+Wellbeing,+Reiki+Healer,+Reiki+Teacher,+Intuitive+Life+Coach,+Holistic+Therapist,+Remote+Healer/data=!4m7!3m6!1s0x48760f779805fb0f:0x4e3e6f555a882666!8m2!3d51.4569426!4d-0.1957899!16s%2Fg%2F11h4dq45wl!19sChIJD_sFmHcPdkgRZiaIWlVvPk4?authuser=0&hl=am&rclk=1"
27,Hands on Heart Healing with Melissa,Elmhurst Cres,,,http://www.handsonhearthealing.co.uk/,https://www.google.com/maps/place/Hands+on+Heart+Healing+with+Melissa/data=!4m7!3m6!1s0x486ef57e64b2a771:0x28a61c81f990ef39!8m2!3d51.6267737!4d-3.9301512!16s%2Fg%2F11fpg6cyzp!19sChIJcaeyZH71bkgROe-Q-YEcpig?authuser=0&hl=am&rclk=1
28,Swan Healing Therapies and retreat,Y Wern,+44 7783 014487,,https://www.swanhealingtherapies.com/,https://www.google.com/maps/place/Swan+Healing+Therapies+and+retreat/data=!4m7!3m6!1s0x486fab106fb69933:0x4c774e2d7e1ff69b!8m2!3d51.9747176!4d-3.8917616!16s%2Fg%2F11fmx0xrjx!19sChIJM5m2bxCrb0gRm_Yffi1Od0w?authuser=0&hl=am&rclk=1
29,The Reiki Retreat,,+44 7496 358785,,http://thereikiretreat.co.uk/,https://www.google.com/maps/place/The+Reiki+Retreat/data=!4m7!3m6!1s0x8a317b05a4f55f9d:0x6e822a3ab1938560!8m2!3d56.1134504!4d-3.9417171!16s%2Fg%2F11sr83sb_t!19sChIJnV_1pAV7MYoRYIWTsToqgm4?authuser=0&hl=am&rclk=1
30,Reiki with me Leonor,29 Ffordd Nowell,+44 7512 442224,Reikiwithmeleonor@hotmail.com,http://reikiwithmeleonorcardiff.co.uk/,https://www.google.com/maps/place/Reiki+with+me+Leonor/data=!4m7!3m6!1s0x486e1d0e6896925b:0x1472256969031df6!8m2!3d51.4966291!4d-3.1483641!16s%2Fg%2F11vpr85s46!19sChIJW5KWaA4dbkgR9h0DaWklchQ?authuser=0&hl=am&rclk=1
31,Natural Energy Healing The Reiki Way,31 Hammonds Ln,+44 7903 818745,,https://sites.google.com,https://www.google.com/maps/place/Natural+Energy+Healing+The+Reiki+Way/data=!4m7!3m6!1s0x48738a0176cb1645:0xa3083f6602842d4b!8m2!3d50.9222055!4d-1.4978549!16s%2Fg%2F11fzp1tqq8!19sChIJRRbLdgGKc0gRSy2EAmY_CKM?authuser=0&hl=am&rclk=1
32,Soul Support Scotland,73 Milnefield Ave,,,http://www.soulsupportscotland.com/,https://www.google.com/maps/place/Soul+Support+Scotland/data=!4m7!3m6!1s0x48850a497c964be1:0xd56a6b53097e9439!8m2!3d57.6401338!4d-3.3011117!16s%2Fg%2F12hpz9cfj!19sChIJ4UuWfEkKhUgROZR-CVNratU?authuser=0&hl=am&rclk=1
33,Healing Wings Reiki and Spiritual Centre,,,,http://www.reikispiritwales.co.uk/,https://www.google.com/maps/place/Healing+Wings+Reiki+and+Spiritual+Centre/data=!4m7!3m6!1s0x486e251f0deb31b3:0x78bc135be2d2df1f!8m2!3d51.7657729!4d-3.2324686!16s%2Fg%2F11jgd89csr!19sChIJszHrDR8lbkgRH9_S4lsTvHg?authuser=0&hl=am&rclk=1
34,E. Dando Holistics,"Time Counselling & Well-being Centre, 66-67, Tredegar St",+44 7841 120513,enquiries@edandoholistics.co.uk,http://www.edandoholistics.co.uk/,https://www.google.com/maps/place/E.+Dando+Holistics/data=!4m7!3m6!1s0x4871d1f75ad8adf3:0x7559baa3e146c80c!8m2!3d51.6069183!4d-3.1005672!16s%2Fg%2F11k9cx_fkx!19sChIJ863YWvfRcUgRDMhG4aO6WXU?authuser=0&hl=am&rclk=1
35,Divine Grace Reiki,10 Lynedoch Rd,+44 7588 406678,wendy@divinegrace.co.uk,http://www.divinegrace.co.uk/,https://www.google.com/maps/place/Divine+Grace+Reiki/data=!4m7!3m6!1s0x488625541dcf5d1f:0x8ae084604287c152!8m2!3d56.4168799!4d-3.5796523!16s%2Fg%2F11rsvs2gr8!19sChIJH13PHVQlhkgRUsGHQmCE4Io?authuser=0&hl=am&rclk=1
36,"Dahni’s Energy Healing - Reiki Therapist, Reiki Healer, London, Reiki Courses, Sound Bath Events, Shamanic Practitioner",,+44 7500 736258,,https://dahnisenergyhealing.co.uk/,"https://www.google.com/maps/place/Dahni%E2%80%99s+Energy+Healing+-+Reiki+Therapist,+Reiki+Healer,+London,+Reiki+Courses,+Sound+Bath+Events,+Shamanic+Practitioner/data=!4m7!3m6!1s0x48761fed23360e8d:0xaf0dc8e822cf9c65!8m2!3d51.6429432!4d-0.0679561!16s%2Fg%2F11ry8k7rbk!19sChIJjQ42I-0fdkgRZZzPIujIDa8?authuser=0&hl=am&rclk=1"
37,"Homeopathic Consultant , Animal healer & Psychic Surgeon, Homeobotanicals Consultant.",27a High St,,,http://www.kishantakahashi.co.uk/,"https://www.google.com/maps/place/Homeopathic+Consultant+,+Animal+healer+%26+Psychic+Surgeon,+Homeobotanicals+Consultant./data=!4m7!3m6!1s0x4871e1370ff52f35:0xbaebbb2e959b0c80!8m2!3d51.588442!4d-2.9967246!16s%2Fg%2F1tlncx3r!19sChIJNS_1DzfhcUgRgAyblS6767o?authuser=0&hl=am&rclk=1"
38,Reiki room holistic,Loch Lomond galleries shopping centre,,,https://reikiroomholistic.bookinbeautiful.com/r/99HO3B,https://www.google.com/maps/place/Reiki+room+holistic/data=!4m7!3m6!1s0x488853674fc3d299:0xc456ac32062c290d!8m2!3d55.9916106!4d-4.5836049!16s%2Fg%2F11xdml6s2l!19sChIJmdLDT2dTiEgRDSksBjKsVsQ?authuser=0&hl=am&rclk=1
39,Maria Cooper-Gomes - Reiki Master - Access Bars® Facilitator,,+44 7961 803298,,https://www.mariacoopergomes.com/,https://www.google.com/maps/place/Maria+Cooper-Gomes+-+Reiki+Master+-+Access+Bars%C2%AE+Facilitator/data=!4m7!3m6!1s0x4876060eaba4bb75:0xe0e4346f6b7120b1!8m2!3d51.4943707!4d-0.1478448!16s%2Fg%2F11c52rm994!19sChIJdbukqw4GdkgRsSBxa2805OA?authuser=0&hl=am&rclk=1
40,Rosichi Healing Arts,,+44 1239 683025,,https://www.rosichi.co.uk/,https://www.google.com/maps/place/Rosichi+Healing+Arts/data=!4m7!3m6!1s0x486f24eeb1f556e1:0xad6f5cd1f69e26b!8m2!3d52.0791623!4d-4.5389421!16s%2Fg%2F11g8tzt281!19sChIJ4Vb1se4kb0gRa-JpH8311go?authuser=0&hl=am&rclk=1
41,Healing in the Harbour,Hanover Pl,+44 7796 137550,,http://www.healingintheharbour.co.uk/,https://www.google.com/maps/place/Healing+in+the+Harbour/data=!4m7!3m6!1s0x48718dcc2e20e6a5:0xa5cd0439ceb6ba09!8m2!3d51.4487523!4d-2.6111104!16s%2Fg%2F11f50xj5xc!19sChIJpeYgLsyNcUgRCbq2zjkEzaU?authuser=0&hl=am&rclk=1
42,West Wales Reiki Healing,Cilwendeg view,,,http://www.westwalesreikihealing.co.uk/,https://www.google.com/maps/place/West+Wales+Reiki+Healing/data=!4m7!3m6!1s0x486f25fdda4a71f3:0xfda0f9c9ab3925fa!8m2!3d52.0187936!4d-4.5907015!16s%2Fg%2F11fz7l4dlt!19sChIJ83FK2v0lb0gR-iU5q8n5oP0?authuser=0&hl=am&rclk=1
43,Reiki Maya London Centre,27 Endell St,,,http://reikimaya.com/,https://www.google.com/maps/place/Reiki+Maya+London+Centre/data=!4m7!3m6!1s0x487604ccc9bc0961:0x9e020397691c4b89!8m2!3d51.5144779!4d-0.1246707!16s%2Fg%2F11c1wjtsrd!19sChIJYQm8ycwEdkgRiUscaZcDAp4?authuser=0&hl=am&rclk=1
44,The Reiki School,,,contact@reiki-school.co.uk,http://www.reiki-school.co.uk/,https://www.google.com/maps/place/The+Reiki+School/data=!4m7!3m6!1s0x487662d0465422c5:0x9e1664d3b2ce1675!8m2!3d51.4574608!4d-1.1137667!16s%2Fg%2F1td52y9k!19sChIJxSJURtBidkgRdRbOstNkFp4?authuser=0&hl=am&rclk=1
45,"Emma de Salis Young | Bodywork, Energy Healing, Womb, Pelvic & Abdominal Care","Maes Melangell, Lammas Earth Centre, Tir y Gafel",+44 7812 344374,,https://www.emmadesalisyoung.co.uk/,"https://www.google.com/maps/place/Emma+de+Salis+Young+%7C+Bodywork,+Energy+Healing,+Womb,+Pelvic+%26+Abdominal+Care/data=!4m7!3m6!1s0x4879e1f86810dd41:0x313156d6b4bef277!8m2!3d51.9355154!4d-4.6256578!16s%2Fg%2F11sms167yb!19sChIJQd0QaPjheUgRd_K-tNZWMTE?authuser=0&hl=am&rclk=1"
46,Crystal Clear Reiki,Hartland Dr,+44 7584 311112,info@crystalclearreiki.biz,https://www.crystalclearreiki.biz/,https://www.google.com/maps/place/Crystal+Clear+Reiki/data=!4m7!3m6!1s0x48766d60a14d8ce9:0xa4571640ea29a439!8m2!3d51.56251!4d-0.4011881!16s%2Fg%2F11hht1lyzn!19sChIJ6YxNoWBtdkgROaQp6kAWV6Q?authuser=0&hl=am&rclk=1
47,You Reiki & Higher Source Coaching,,+44 7977 140550,,http://www.youreiki.co.uk/,https://www.google.com/maps/place/You+Reiki+%26+Higher+Source+Coaching/data=!4m7!3m6!1s0x487a8222c096bda7:0x1cd98bb20e657e8!8m2!3d51.682448!4d-3.9914636!16s%2Fg%2F1w664ykd!19sChIJp72WwCKCekgR6FfmILuYzQE?authuser=0&hl=am&rclk=1
48,"Healing Energies, Wales",8 Church Row,+44 7967 200813,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,http://www.healingenergieswales.com/,"https://www.google.com/maps/place/Healing+Energies,+Wales/data=!4m7!3m6!1s0x486e4a9a6a63d78f:0x72e1c1fd835170d4!8m2!3d51.9397284!4d-3.5642654!16s%2Fg%2F11gfk02mlf!19sChIJj9djappKbkgR1HBRg_3B4XI?authuser=0&hl=am&rclk=1"
49,Reiki in Hand,100 Grove Rd,+44 7954 343655,,https://garymarkwick.co.uk/,https://www.google.com/maps/place/Reiki+in+Hand/data=!4m7!3m6!1s0x487619eecab63125:0x45928589e29f6a09!8m2!3d51.6149173!4d-0.1726489!16s%2Fg%2F1tfgnwyd!19sChIJJTG2yu4ZdkgRCWqf4omFkkU?authuser=0&hl=am&rclk=1
50,"Three Little Birds - Reiki Therapist London, Reiki Courses London, Reiki Healer Purley, Sound baths Purley, London, UK",Warren Rd,+44 7764 500784,amy@threelittlebirdsofficial.com,http://www.threelittlebirdsofficial.com/,"https://www.google.com/maps/place/Three+Little+Birds+-+Reiki+Therapist+London,+Reiki+Courses+London,+Reiki+Healer+Purley,+Sound+baths+Purley,+London,+UK/data=!4m7!3m6!1s0x4875fdde087c35b1:0xcbd10bea1ad07bcc!8m2!3d51.3373079!4d-0.1116981!16s%2Fg%2F11ld45jvz7!19sChIJsTV8CN79dUgRzHvQGuoL0cs?authuser=0&hl=am&rclk=1"
51,Serenity Holistic Therapies - North Wales,Sandhills Rd,+44 7413 553814,,https://www.serenityholistictherapiesnorthwales.com/,https://www.google.com/maps/place/Serenity+Holistic+Therapies+-+North+Wales/data=!4m7!3m6!1s0x486521c0c45762eb:0xf810ad3545fdf5c9!8m2!3d53.2877087!4d-3.7033623!16s%2Fg%2F11fr52qcyz!19sChIJ62JXxMAhZUgRyfX9RTWtEPg?authuser=0&hl=am&rclk=1
52,"Alexandra de Angelis, Reiki Master/Teacher",Lexham Gardens,,alexiadeangelis@gmail.com,http://www.reikiandrocks.co.uk/,"https://www.google.com/maps/place/Alexandra+de+Angelis,+Reiki+Master%2FTeacher/data=!4m7!3m6!1s0x48760f04d83de909:0x624e7662ac206045!8m2!3d51.4963835!4d-0.1882147!16s%2Fg%2F11fn6yzg58!19sChIJCek92AQPdkgRRWAgrGJ2TmI?authuser=0&hl=am&rclk=1"
53,Altruistic Reiki & Bach Flower practitioner BFRP,16 Fields Park Terrace,+44 7799 225334,,http://www.altruisticreiki.co.uk/,https://www.google.com/maps/place/Altruistic+Reiki+%26+Bach+Flower+practitioner+BFRP/data=!4m7!3m6!1s0x486e1f006ac443e7:0x2e1381484a85492f!8m2!3d51.6233703!4d-3.1289388!16s%2Fg%2F11fr345flz!19sChIJ50PEagAfbkgRL0mFSkiBEy4?authuser=0&hl=am&rclk=1
54,Sistars Of Light,,,,https://www.astraya.org/,https://www.google.com/maps/place/Sistars+Of+Light/data=!4m7!3m6!1s0x6b37430c6a85a9a9:0xf9f40aa673080680!8m2!3d51.6428282!4d-2.978561!16s%2Fg%2F11v74cltl4!19sChIJqamFagxDN2sRgAYIc6YK9Pk?authuser=0&hl=am&rclk=1
55,Healing Reiki,86 Gloucester Ave.,+44 7949 056111,,https://www.healingreiki.co.uk/,https://www.google.com/maps/place/Healing+Reiki/data=!4m7!3m6!1s0x48761af27f85f029:0xa74e53a2fa0855d8!8m2!3d51.5412917!4d-0.1530396!16s%2Fg%2F1wnf0jtq!19sChIJKfCFf_IadkgR2FUI-qJTTqc?authuser=0&hl=am&rclk=1
56,Healing Wings Reiki and Spiritual Centre,,,,http://www.reikispiritwales.co.uk/,https://www.google.com/maps/place/Healing+Wings+Reiki+and+Spiritual+Centre/data=!4m7!3m6!1s0x486e251f0deb31b3:0x78bc135be2d2df1f!8m2!3d51.7657729!4d-3.2324686!16s%2Fg%2F11jgd89csr!19sChIJszHrDR8lbkgRH9_S4lsTvHg?authuser=0&hl=am&rclk=1
57,Anita Core Healing,27 York Rd,+44 7977 512474,,http://www.anitacorehealing.com/,https://www.google.com/maps/place/Anita+Core+Healing/data=!4m7!3m6!1s0x47d8a3ea71315c73:0xfc46dc866c3a81e4!8m2!3d51.5593746!4d0.0682689!16s%2Fg%2F11g0bkkxsz!19sChIJc1wxceqj2EcR5IE6bIbcRvw?authuser=0&hl=am&rclk=1
58,You Reiki & Higher Source Coaching,,+44 7977 140550,,http://www.youreiki.co.uk/,https://www.google.com/maps/place/You+Reiki+%26+Higher+Source+Coaching/data=!4m7!3m6!1s0x487a8222c096bda7:0x1cd98bb20e657e8!8m2!3d51.682448!4d-3.9914636!16s%2Fg%2F1w664ykd!19sChIJp72WwCKCekgR6FfmILuYzQE?authuser=0&hl=am&rclk=1
59,Energy of Light,Higher Barn,+44 7900 191318,,http://www.energyoflight.co.uk/,https://www.google.com/maps/place/Energy+of+Light/data=!4m7!3m6!1s0x487b099ca52bd161:0x34c49ed01666fce3!8m2!3d53.5974289!4d-2.5217013!16s%2Fg%2F11s865ryhb!19sChIJYdErpZwJe0gR4_xmFtCexDQ?authuser=0&hl=am&rclk=1
60,Ravens Retreat,11 Angel St,+44 7421 309945,joolz@ravensretreat.wales,https://www.ravensretreat.wales/,https://www.google.com/maps/place/Ravens+Retreat/data=!4m7!3m6!1s0x486e5d7590ae63b1:0xbfe7fee38043feca!8m2!3d51.6642243!4d-3.8058182!16s%2Fg%2F11fkqh63pk!19sChIJsWOukHVdbkgRyv5DgOP-578?authuser=0&hl=am&rclk=1
61,I AM ENERGY,20 Greenwood Rd,,,https://i-am.energy/,https://www.google.com/maps/place/I+AM+ENERGY/data=!4m7!3m6!1s0x4876817f7adf953d:0xc741464c3284d4d6!8m2!3d51.3774273!4d-0.8000943!16s%2Fg%2F11pz01gp2s!19sChIJPZXfen-BdkgR1tSEMkxGQcc?authuser=0&hl=am&rclk=1
62,"Emma de Salis Young | Bodywork, Energy Healing, Womb, Pelvic & Abdominal Care","Maes Melangell, Lammas Earth Centre, Tir y Gafel",+44 7812 344374,,https://www.emmadesalisyoung.co.uk/,"https://www.google.com/maps/place/Emma+de+Salis+Young+%7C+Bodywork,+Energy+Healing,+Womb,+Pelvic+%26+Abdominal+Care/data=!4m7!3m6!1s0x4879e1f86810dd41:0x313156d6b4bef277!8m2!3d51.9355154!4d-4.6256578!16s%2Fg%2F11sms167yb!19sChIJQd0QaPjheUgRd_K-tNZWMTE?authuser=0&hl=am&rclk=1"
