Index,Clinic Name,Dentist Name,Address,Phone,Email,Website,Google Maps URL
11,SolDent - Dental Clinic Budapest,,?,+33 9 75 12 95 44,,,https://www.google.com/maps/place/SolDent+-+Dental+Clinic+Budapest/data=!4m7!3m6!1s0x4741dc0f38906e45:0xd1ae29a0fad6c830!8m2!3d47.508608!4d19.0239572!16s%2Fg%2F11b7cbcld7!19sChIJRW6QOA_cQUcRMMjW-qAprtE?authuser=0&hl=am&rclk=1
12,Crystal Dental,,?,+36 1 951 3454,,,https://www.google.com/maps/place/Crystal+Dental/data=!4m7!3m6!1s0x4741dc400736d26b:0x48ca2c5ed9096b44!8m2!3d47.49874!4d19.051303!16s%2Fg%2F11b6jgy74x!19sChIJa9I2B0DcQUcRRGsJ2V4sykg?authuser=0&hl=am&rclk=1
13,Save on Dental Care - SODC Dental Clinic,,?,+44 20 3318 5606,,,https://www.google.com/maps/place/Save+on+Dental+Care+-+SODC+Dental+Clinic/data=!4m7!3m6!1s0x4741dbf4e8213387:0xe8f4aacd8de4fe34!8m2!3d47.5204811!4d19.0643539!16s%2Fg%2F1q6n2xk1y!19sChIJhzMh6PTbQUcRNP7kjc2q9Og?authuser=0&hl=am&rclk=1
14,Haifa Dent Dentistry,,?,,,,https://www.google.com/maps/place/Haifa+Dent+Dentistry/data=!4m7!3m6!1s0x4741dc67b1173beb:0x64abf20e67b960b2!8m2!3d47.4983005!4d19.0681844!16s%2Fg%2F1wnbwsty!19sChIJ6zsXsWfcQUcRsmC5Zw7yq2Q?authuser=0&hl=am&rclk=1
15,J & J Dent Kft. Dentist,,?,+36 20 477 2124,,,https://www.google.com/maps/place/J+%26+J+Dent+Kft.+Dentist/data=!4m7!3m6!1s0x4741dc4152209e41:0xa9d83546ebd3f706!8m2!3d47.4936595!4d19.0544269!16s%2Fg%2F1v6wn2gp!19sChIJQZ4gUkHcQUcRBvfT60Y12Kk?authuser=0&hl=am&rclk=1
16,Evergreen Dental,,?,+36 70 477 5173,,,https://www.google.com/maps/place/Evergreen+Dental/data=!4m7!3m6!1s0x4741dc6c27c33b91:0xf8e3724da4351ca0!8m2!3d47.5042053!4d19.0621352!16s%2Fg%2F11c55j7dl0!19sChIJkTvDJ2zcQUcRoBw1pE1y4_g?authuser=0&hl=am&rclk=1
17,MDental Clinic,,?,+36 1 465 3100,,,https://www.google.com/maps/place/MDental+Clinic/data=!4m7!3m6!1s0x4741dc0d17c76fd1:0xac6c3314e612c5b!8m2!3d47.5098008!4d19.0582253!16s%2Fg%2F11b6_f3tym!19sChIJ0W_HFw3cQUcRWyxhTjHDxgo?authuser=0&hl=am&rclk=1
18,MXdent Dentistry,,Margit körút 15-17,+36 30 350 7928,,,https://www.google.com/maps/place/MXdent+Dentistry/data=!4m7!3m6!1s0x4741dc1d12526ddf:0xc206697a9068f219!8m2!3d47.5135668!4d19.0349776!16s%2Fg%2F1th80qkl!19sChIJ321SEh3cQUcRGfJokHppBsI?authuser=0&hl=am&rclk=1
19,Császár Dental - Parodontológiai és Implantológiai Központ,,?,+36 70 424 7727,,,https://www.google.com/maps/place/Cs%C3%A1sz%C3%A1r+Dental+-+Parodontol%C3%B3giai+%C3%A9s+Implantol%C3%B3giai+K%C3%B6zpont/data=!4m7!3m6!1s0x4741dc6d93c9ea8d:0xe28e91de3d3182d1!8m2!3d47.503099!4d19.0656526!16s%2Fg%2F11b7xqz__p!19sChIJjerJk23cQUcR0YIxPd6RjuI?authuser=0&hl=am&rclk=1
20,Firstdent London & Budapest,,?,+44 20 8820 1417,,,https://www.google.com/maps/place/Firstdent+London+%26+Budapest/data=!4m7!3m6!1s0x4741dc0dadc0be5d:0xadac6c15536dfdd4!8m2!3d47.487269!4d18.9908441!16s%2Fg%2F11b7fbnnf9!19sChIJXb7ArQ3cQUcR1P1tUxVsrK0?authuser=0&hl=am&rclk=1
21,Dr. Lászlófy Csaba implantológus és szájsebész BUDAPEST,,Ó u. 6,+36 20 259 6363,,,https://www.google.com/maps/place/Dr.+L%C3%A1szl%C3%B3fy+Csaba+implantol%C3%B3gus+%C3%A9s+sz%C3%A1jseb%C3%A9sz+BUDAPEST/data=!4m7!3m6!1s0x4741dde2a438b947:0x568e48429c85cf3d!8m2!3d47.5030371!4d19.0561571!16s%2Fg%2F11gm6mhpbg!19sChIJR7k4pOLdQUcRPc-FnEJIjlY?authuser=0&hl=am&rclk=1
22,Save on Dental Care - SODC Dental Clinic,,?,+44 20 3318 5606,,,https://www.google.com/maps/place/Save+on+Dental+Care+-+SODC+Dental+Clinic/data=!4m7!3m6!1s0x4741dbf4e8213387:0xe8f4aacd8de4fe34!8m2!3d47.5204811!4d19.0643539!16s%2Fg%2F1q6n2xk1y!19sChIJhzMh6PTbQUcRNP7kjc2q9Og?authuser=0&hl=am&rclk=1
23,Magic Dental,,Margit körút 43-45-II./1,+36 70 745 8118,,,https://www.google.com/maps/place/Magic+Dental/data=!4m7!3m6!1s0x4741dd963efee79f:0x311063dc65fdd35d!8m2!3d47.5113119!4d19.0325831!16s%2Fg%2F11rck4dhh7!19sChIJn-f-PpbdQUcRXdP9ZdxjEDE?authuser=0&hl=am&rclk=1
24,Royal Dental Clinic,,Ülloi út 54,+36 31 781 0938,,,https://www.google.com/maps/place/Royal+Dental+Clinic/data=!4m7!3m6!1s0x4741ddb57e8dad3f:0xb97d01ff5c4ff440!8m2!3d47.4847381!4d19.0735716!16s%2Fg%2F11fhng93l3!19sChIJP62NfrXdQUcRQPRPXP8Bfbk?authuser=0&hl=am&rclk=1
25,Donau Dental,,Madách Imre tér 7,+49 89 2108316065,,,https://www.google.com/maps/place/Donau+Dental/data=!4m7!3m6!1s0x4741dcfeb6980d33:0xb34608418ecc002!8m2!3d47.4973305!4d19.0565999!16s%2Fg%2F11c1ljkr1r!19sChIJMw2Ytv7cQUcRAsDsGIRgNAs?authuser=0&hl=am&rclk=1
26,Egressy Dental Kft.,,?,+36 70 381 5871,,,https://www.google.com/maps/place/Egressy+Dental+Kft./data=!4m7!3m6!1s0x4741ddc4cbb999b3:0xb8630b651d77b447!8m2!3d47.5081325!4d19.1077103!16s%2Fg%2F1vv2r073!19sChIJs5m5y8TdQUcRR7R3HWULY7g?authuser=0&hl=am&rclk=1
27,Platinum Dental Budapest,,?,+36 1 338 3233,,,https://www.google.com/maps/place/Platinum+Dental+Budapest/data=!4m7!3m6!1s0x4741dc41002ca9b9:0x1979356a314c3d1e!8m2!3d47.4960841!4d19.0530543!16s%2Fg%2F11b6x4p8ct!19sChIJuaksAEHcQUcRHj1MMWo1eRk?authuser=0&hl=am&rclk=1
28,Orion Dental Budapest,,?,+36 70 881 8207,,,https://www.google.com/maps/place/Orion+Dental+Budapest/data=!4m7!3m6!1s0x4741df1d8d1fab2d:0x780b06092a501e74!8m2!3d47.5096837!4d19.0329315!16s%2Fg%2F11lwhx32_3!19sChIJLasfjR3fQUcRdB5QKgkGC3g?authuser=0&hl=am&rclk=1
29,Haifa Dent Dentistry,,?,,,,https://www.google.com/maps/place/Haifa+Dent+Dentistry/data=!4m7!3m6!1s0x4741dc67b1173beb:0x64abf20e67b960b2!8m2!3d47.4983005!4d19.0681844!16s%2Fg%2F1wnbwsty!19sChIJ6zsXsWfcQUcRsmC5Zw7yq2Q?authuser=0&hl=am&rclk=1
30,Evergreen Dental,,?,+36 70 477 5173,,,https://www.google.com/maps/place/Evergreen+Dental/data=!4m7!3m6!1s0x4741dc6c27c33b91:0xf8e3724da4351ca0!8m2!3d47.5042053!4d19.0621352!16s%2Fg%2F11c55j7dl0!19sChIJkTvDJ2zcQUcRoBw1pE1y4_g?authuser=0&hl=am&rclk=1
31,Szt. Lukács Dental Spa,,?,+36 30 780 0454,,,https://www.google.com/maps/place/Szt.+Luk%C3%A1cs+Dental+Spa/data=!4m7!3m6!1s0x4741dc01ead296a5:0xb1f4f4a6fedd7bef!8m2!3d47.5181628!4d19.0366117!16s%2Fg%2F11flzfqdpf!19sChIJpZbS6gHcQUcR73vd_qb09LE?authuser=0&hl=am&rclk=1
32,king Dent,,?,+36 30 971 4812,,,https://www.google.com/maps/place/king+Dent/data=!4m7!3m6!1s0x4741dc6a11c018bd:0xa9cdbb67714efe35!8m2!3d47.4988647!4d19.0573121!16s%2Fg%2F1hdzrmsk_!19sChIJvRjAEWrcQUcRNf5OcWe7zak?authuser=0&hl=am&rclk=1
33,SoulDental Fogászat,,?,+36 30 228 3199,,,https://www.google.com/maps/place/SoulDental+Fog%C3%A1szat/data=!4m7!3m6!1s0x4741deded492926d:0x9f2d17ad51a897e8!8m2!3d47.521955!4d19.0055841!16s%2Fg%2F1tr9m629!19sChIJbZKS1N7eQUcR6JeoUa0XLZ8?authuser=0&hl=am&rclk=1
34,Meditum Dental,,?,+36 20 403 8968,,,https://www.google.com/maps/place/Meditum+Dental/data=!4m7!3m6!1s0x4741dd9b7a9d17db:0x7c0a52fc0a6e84c3!8m2!3d47.5076919!4d19.0281362!16s%2Fg%2F11fqcf_gq6!19sChIJ2xedepvdQUcRw4RuCvxSCnw?authuser=0&hl=am&rclk=1
35,Budapest-Implant/ implants dentaire en Hongrie,,Frankel Leó út 29,+36 30 811 0884,,,https://www.google.com/maps/place/Budapest-Implant%2F+implants+dentaire+en+Hongrie/data=!4m7!3m6!1s0x4741dc01ead296a5:0xeeb7139cbf3ec622!8m2!3d47.5180083!4d19.0366939!16s%2Fg%2F11g6bjzjny!19sChIJpZbS6gHcQUcRIsY-v5wTt-4?authuser=0&hl=am&rclk=1
36,ACE Dental Budapest,,?,+36 70 884 2111,,,https://www.google.com/maps/place/ACE+Dental+Budapest/data=!4m7!3m6!1s0x4741dc2902193657:0x4d7ff974124c088c!8m2!3d47.477985!4d19.048456!16s%2Fg%2F1q5blvb3_!19sChIJVzYZAincQUcRjAhMEnT5f00?authuser=0&hl=am&rclk=1
37,Andrassy Dental Dental Center,,?,+36 70 433 1433,,,https://www.google.com/maps/place/Andrassy+Dental+Dental+Center/data=!4m7!3m6!1s0x4741dc6dd4eab21f:0xec689c4f21f44f21!8m2!3d47.506217!4d19.0569147!16s%2Fg%2F1pv28z6z2!19sChIJH7Lq1G3cQUcRIU_0IU-caOw?authuser=0&hl=am&rclk=1
38,"Studio Oral Maxillofacial Surgery, Dental Clinic Private",,Budapest Böszörményi út 2 (bejárat a Nagyenyed utca felol,+36 1 212 1930,,,"https://www.google.com/maps/place/Studio+Oral+Maxillofacial+Surgery,+Dental+Clinic+Private/data=!4m7!3m6!1s0x4741dc2761687ad7:0x869c259246662dd9!8m2!3d47.4975363!4d19.0210856!16s%2Fg%2F1tfcxl67!19sChIJ13poYSfcQUcR2S1mRpIlnIY?authuser=0&hl=am&rclk=1"
39,Budapest Dental Solutions,,?,+44 7457 404429,,,https://www.google.com/maps/place/Budapest+Dental+Solutions/data=!4m7!3m6!1s0x4741dc44dc7c9251:0xc011e532b9aa51aa!8m2!3d47.5058946!4d19.0610385!16s%2Fg%2F1td5_hmb!19sChIJUZJ83ETcQUcRqlGquTLlEcA?authuser=0&hl=am&rclk=1
40,Exclusive Dental * Esztétikai fogászat * Implantológia * Fogszabályozás,,?,+36 30 641 6051,,,https://www.google.com/maps/place/Exclusive+Dental+*+Eszt%C3%A9tikai+fog%C3%A1szat+*+Implantol%C3%B3gia+*+Fogszab%C3%A1lyoz%C3%A1s/data=!4m7!3m6!1s0x4741dc440be49113:0x8dc72c74ef16c373!8m2!3d47.4923366!4d19.0563257!16s%2Fg%2F1hd_v0k64!19sChIJE5HkC0TcQUcRc8MW73Qsx40?authuser=0&hl=am&rclk=1
41,Hungarodental Kft.,,Böszörményi út 13-15,+36 70 772 1315,,,https://www.google.com/maps/place/Hungarodental+Kft./data=!4m7!3m6!1s0x4741de8275ea3e9d:0x70665269438e8184!8m2!3d47.4950497!4d19.0189144!16s%2Fg%2F1tj5pj08!19sChIJnT7qdYLeQUcRhIGOQ2lSZnA?authuser=0&hl=am&rclk=1
42,Menzou Dental Kft.,,Vérmezo út 6,+36 30 262 2765,,,https://www.google.com/maps/place/Menzou+Dental+Kft./data=!4m7!3m6!1s0x4741dc1e0383dc39:0xec7d78437db64cb7!8m2!3d47.5069149!4d19.0259744!16s%2Fg%2F11dfgt0w7h!19sChIJOdyDAx7cQUcRt0y2fUN4few?authuser=0&hl=am&rclk=1
43,Star Dental,,?,+36 20 383 8555,,,https://www.google.com/maps/place/Star+Dental/data=!4m7!3m6!1s0x4741dd880012acb7:0x4d6d34feedf973a7!8m2!3d47.489454!4d19.0552707!16s%2Fg%2F11gjw24jmw!19sChIJt6wSAIjdQUcRp3P57f40bU0?authuser=0&hl=am&rclk=1
44,Globe Dental,,Szalay u. 2,+36 1 533 3100,,,https://www.google.com/maps/place/Globe+Dental/data=!4m7!3m6!1s0x4741ddfcd394ae77:0xd6f0b9b39cfa5157!8m2!3d47.5086832!4d19.0484723!16s%2Fg%2F11j0scs3j0!19sChIJd66U0_zdQUcRV1H6nLO58NY?authuser=0&hl=am&rclk=1
45,Buda Dental - Dr. Schandl András,,Bercsényi u. 12-1. emelet,+36 30 684 8148,,,https://www.google.com/maps/place/Buda+Dental+-+Dr.+Schandl+Andr%C3%A1s/data=!4m7!3m6!1s0x4741e979438b5413:0x860e0753169a8173!8m2!3d47.477714!4d19.051178!16s%2Fg%2F11vs2t6vgn!19sChIJE1SLQ3npQUcRc4GaFlMHDoY?authuser=0&hl=am&rclk=1
46,Poncz Dental,,?,+36 30 711 8755,,,https://www.google.com/maps/place/Poncz+Dental/data=!4m7!3m6!1s0x4741dcff6f344077:0x64120c314339c5e3!8m2!3d47.4788894!4d19.0673465!16s%2Fg%2F1pp2tlbjm!19sChIJd0A0b__cQUcR48U5QzEMEmQ?authuser=0&hl=am&rclk=1
47,Imperial Dental Kft.,,?,+36 1 225 0055,,,https://www.google.com/maps/place/Imperial+Dental+Kft./data=!4m7!3m6!1s0x4741dc211efd5b47:0xd8e59446ddb7d5b6!8m2!3d47.4995849!4d19.0319691!16s%2Fg%2F1hhxp7l8_!19sChIJR1v9HiHcQUcRttW33UaU5dg?authuser=0&hl=am&rclk=1
48,Hindent Dentistry - Budapest,,?,+36 30 259 1002,,,https://www.google.com/maps/place/Hindent+Dentistry+-+Budapest/data=!4m7!3m6!1s0x4741dc1dffe84a4f:0x2e78456af3fdc15a!8m2!3d47.508199!4d19.028163!16s%2Fg%2F11b6npj50_!19sChIJT0ro_x3cQUcRWsH982pFeC4?authuser=0&hl=am&rclk=1
49,"Netfog Dental Clinic - dentist Budapest, Dental clinic budapest",,Margit körút 64/b,+36 1 613 3453,,,"https://www.google.com/maps/place/Netfog+Dental+Clinic+-+dentist+Budapest,+Dental+clinic+budapest/data=!4m7!3m6!1s0x4741ddbab3ed0b4b:0x1610a87422f0b937!8m2!3d47.509482!4d19.0286671!16s%2Fg%2F11bbx01j5z!19sChIJSwvts7rdQUcRN7nwInSoEBY?authuser=0&hl=am&rclk=1"
50,DENTUS - The dentist,,Kiss János altábornagy u. 52,+36 30 222 2777,,,https://www.google.com/maps/place/DENTUS+-+The+dentist/data=!4m7!3m6!1s0x4741de8260d8e607:0x10fe8b4fbdc7eed6!8m2!3d47.4922206!4d19.0154678!16s%2Fg%2F1td1nnnv!19sChIJB-bYYILeQUcR1u7HvU-L_hA?authuser=0&hl=am&rclk=1
51,Calvin Dental Kft.,,?,+36 20 315 2884,,,https://www.google.com/maps/place/Calvin+Dental+Kft./data=!4m7!3m6!1s0x4741dc5a3a2b6faf:0x7a7cdd6faa3ecab9!8m2!3d47.488342!4d19.064826!16s%2Fg%2F11cs3kgj7r!19sChIJr28rOlrcQUcRuco-qm_dfHo?authuser=0&hl=am&rclk=1
52,Jildent Clinique,,Repkény u. 14,+36 30 221 5369,,,https://www.google.com/maps/place/Jildent+Clinique/data=!4m7!3m6!1s0x4741d953f3449b7d:0xcb8981f233dcb087!8m2!3d47.5265335!4d19.0329292!16s%2Fg%2F12hkf55b2!19sChIJfZtE81PZQUcRh7DcM_KBics?authuser=0&hl=am&rclk=1
53,Fogorvosi rendelo Budapest – Fehér Dental Fogászat,,?,+36 30 262 8100,,,https://www.google.com/maps/place/Fogorvosi+rendel%C5%91+Budapest+%E2%80%93+Feh%C3%A9r+Dental+Fog%C3%A1szat/data=!4m7!3m6!1s0x4741dcaa2d7b4e03:0xab72eb40f139e5f6!8m2!3d47.5014881!4d19.1374021!16s%2Fg%2F1tqt8fxc!19sChIJA057LarcQUcR9uU58UDrcqs?authuser=0&hl=am&rclk=1
54,DNP Dental,,Bartók Béla út 90,+36 70 613 6646,,,https://www.google.com/maps/place/DNP+Dental/data=!4m7!3m6!1s0x4741ddb2f95744eb:0x7e63ba20ac8e7af0!8m2!3d47.4744378!4d19.0383812!16s%2Fg%2F11j0jjxhl0!19sChIJ60RX-bLdQUcR8HqOrCC6Y34?authuser=0&hl=am&rclk=1
55,FR Dental Budapest,,?,+36 70 312 9771,,,https://www.google.com/maps/place/FR+Dental+Budapest/data=!4m7!3m6!1s0x4741dbf46e8d78b9:0x57f05166d7c0b05f!8m2!3d47.5217707!4d19.0617441!16s%2Fg%2F11b6_ccxmh!19sChIJuXiNbvTbQUcRX7DA12ZR8Fc?authuser=0&hl=am&rclk=1
56,Central-Dental,,?,,,,https://www.google.com/maps/place/Central-Dental/data=!4m7!3m6!1s0x4741dc41002ca9b9:0xa7dffc888e9d6fec!8m2!3d47.4993634!4d19.0217956!16s%2Fg%2F11cs4gh7tq!19sChIJuaksAEHcQUcR7G-djoj836c?authuser=0&hl=am&rclk=1
57,Dentist For You,,?,+36 30 533 6963,,,https://www.google.com/maps/place/Dentist+For+You/data=!4m7!3m6!1s0x4741dd5c16d3e133:0xc12fff3133cbc449!8m2!3d47.4784313!4d19.0782534!16s%2Fg%2F11qnt5y1fb!19sChIJM-HTFlzdQUcRScTLMzH_L8E?authuser=0&hl=am&rclk=1
58,Clinique Dentaire - Mercz Dental Hongrie Budapest,,Budapest Karinthy Frigyes út 4-6 2 étage 2,+36 70 672 3006,,,https://www.google.com/maps/place/Clinique+Dentaire+-+Mercz+Dental+Hongrie+Budapest/data=!4m7!3m6!1s0x4741dc1d3ddb3121:0xac20fa8f0c8b25e4!8m2!3d47.4775008!4d19.0489585!16s%2Fg%2F11f3tjhzh6!19sChIJITHbPR3cQUcR5CWLDI_6IKw?authuser=0&hl=am&rclk=1
59,Jókai Dental,,?,+36 20 911 7501,,,https://www.google.com/maps/place/J%C3%B3kai+Dental/data=!4m7!3m6!1s0x4741dc6dba4eeb1d:0xcaf3444987e923ec!8m2!3d47.505895!4d19.061039!16s%2Fg%2F1tp261db!19sChIJHetOum3cQUcR7CPph0lE88o?authuser=0&hl=am&rclk=1
60,"Dental Angels Fogászat - Esztétikai Fogászat, Fog Implantátum, All-On-4, Láthatatlan Fogszabályozó, Fogfehérítés",,?,+36 30 291 7500,,,"https://www.google.com/maps/place/Dental+Angels+Fog%C3%A1szat+-+Eszt%C3%A9tikai+Fog%C3%A1szat,+Fog+Implant%C3%A1tum,+All-On-4,+L%C3%A1thatatlan+Fogszab%C3%A1lyoz%C3%B3,+Fogfeh%C3%A9r%C3%ADt%C3%A9s/data=!4m7!3m6!1s0x4741ddf5fe6c0629:0xb800ce77fcf8c41e!8m2!3d47.5076919!4d19.0281362!16s%2Fg%2F11f65b1vzg!19sChIJKQZs_vXdQUcRHsT4_HfOALg?authuser=0&hl=am&rclk=1"
61,Interdental Fogászati Klinika,,Nagymezo u. 4,+36 1 322 9455,,,https://www.google.com/maps/place/Interdental+Fog%C3%A1szati+Klinika/data=!4m7!3m6!1s0x4741dc694d756c85:0xef3c58b31e074323!8m2!3d47.502083!4d19.061945!16s%2Fg%2F1tjbqyn0!19sChIJhWx1TWncQUcRI0MHHrNYPO8?authuser=0&hl=am&rclk=1
62,"Haifa Dent 2 Fogászat, Fogorvosi Rendelo Budapest VII. ker.",,?,+36 20 263 7262,,,"https://www.google.com/maps/place/Haifa+Dent+2+Fog%C3%A1szat,+Fogorvosi+Rendel%C5%91+Budapest+VII.+ker./data=!4m7!3m6!1s0x4741dd622046ce01:0x299b90e4d487645d!8m2!3d47.4979169!4d19.0682495!16s%2Fg%2F11nchvp_lk!19sChIJAc5GIGLdQUcRXWSH1OSQmyk?authuser=0&hl=am&rclk=1"
63,Cosmodent Dentistry,,?,+36 1 200 1378,,,https://www.google.com/maps/place/Cosmodent+Dentistry/data=!4m7!3m6!1s0x4741dc2c5d0c92cb:0xf16136e57aaaf24f!8m2!3d47.4844942!4d19.0253201!16s%2Fg%2F11cffqs8s!19sChIJy5IMXSzcQUcRT_KqeuU2YfE?authuser=0&hl=am&rclk=1
64,Petofi Dent,,?,+36 70 350 5950,,,https://www.google.com/maps/place/Pet%C5%91fi+Dent/data=!4m7!3m6!1s0x4741dd552ef59b01:0x21b552c79662de1b!8m2!3d47.4810192!4d19.0665505!16s%2Fg%2F11t8bvnszb!19sChIJAZv1LlXdQUcRG95ilsdStSE?authuser=0&hl=am&rclk=1
65,Bartók Dental,,?,+36 20 624 6146,,,https://www.google.com/maps/place/Bart%C3%B3k+Dental/data=!4m7!3m6!1s0x4741ddb2d1f82fb3:0x3576538c923d31ef!8m2!3d47.4787336!4d19.049326!16s%2Fg%2F11c6lhxt39!19sChIJsy_40bLdQUcR7zE9koxTdjU?authuser=0&hl=am&rclk=1
66,Heroes' Square Dental,,Délibáb u. 30,+36 1 256 0308,,,https://www.google.com/maps/place/Heroes%27+Square+Dental/data=!4m7!3m6!1s0x4741dc78157fda31:0xe2dbd18cb492cca9!8m2!3d47.5135805!4d19.0775668!16s%2Fg%2F1tfz8zkz!19sChIJMdp_FXjcQUcRqcyStIzR2-I?authuser=0&hl=am&rclk=1
67,Naturadent Aesthetic and Laser Dentistry,,?,+36 1 789 0690,,,https://www.google.com/maps/place/Naturadent+Aesthetic+and+Laser+Dentistry/data=!4m7!3m6!1s0x4741dc4545156b8b:0x5dcd57de17f47058!8m2!3d47.4880603!4d19.0566871!16s%2Fg%2F1tm1p727!19sChIJi2sVRUXcQUcRWHD0F95XzV0?authuser=0&hl=am&rclk=1
68,Déli Dental,,?,+36 20 486 7959,,,https://www.google.com/maps/place/D%C3%A9li+Dental/data=!4m7!3m6!1s0x4741de9e28381ef1:0xa6b54eeb1bdc6bb!8m2!3d47.5009082!4d19.0230998!16s%2Fg%2F1thz0g0z!19sChIJ8R44KJ7eQUcRu8a9se5Uawo?authuser=0&hl=am&rclk=1
69,Specific Dental - Dr. Nagy Bálint,,Budapest Víg utca 41-43 utcafront 7,+36 30 321 0203,,,https://www.google.com/maps/place/Specific+Dental+-+Dr.+Nagy+B%C3%A1lint/data=!4m7!3m6!1s0x4741dd0ca643d4b7:0xe61d30707920f9cc!8m2!3d47.4916573!4d19.0742988!16s%2Fg%2F11fjvtltvp!19sChIJt9RDpgzdQUcRzPkgeXAwHeY?authuser=0&hl=am&rclk=1
70,Duna Dental Fogászat,,?,+36 20 669 5169,,,https://www.google.com/maps/place/Duna+Dental+Fog%C3%A1szat/data=!4m7!3m6!1s0x4741dc44221e62fb:0x98df6a27b40689e!8m2!3d47.4917808!4d19.0536419!16s%2Fg%2F11b782yh68!19sChIJ-2IeIkTcQUcRnmhAe6L2jQk?authuser=0&hl=am&rclk=1
71,Fülöp Dental Budapest,,Andrássy út 83-85,+36 30 350 6837,,,https://www.google.com/maps/place/F%C3%BCl%C3%B6p+Dental+Budapest/data=!4m7!3m6!1s0x4741dddb0dbfc417:0xc42f216ad8becd64!8m2!3d47.5090106!4d19.0695196!16s%2Fg%2F11vxxlp7nl!19sChIJF8S_DdvdQUcRZM2-2GohL8Q?authuser=0&hl=am&rclk=1
72,Avicenna Dental,,Podmaniczky u. 33-III/8,+36 20 395 5218,,,https://www.google.com/maps/place/Avicenna+Dental/data=!4m7!3m6!1s0x4741dd419d1b01c1:0x988e644aa38ff2c6!8m2!3d47.5098024!4d19.0599312!16s%2Fg%2F11k69mj9rp!19sChIJwQEbnUHdQUcRxvKPo0pkjpg?authuser=0&hl=am&rclk=1
