Index,Practitioner Name,Address,Phone,Email,Website,Google Maps URL
12,"Path of Alignment - Reiki Master, Spiritual Guidance, Holistic Esthetics",,+1 856-287-7263,,https://www.pathofalignment.com/,"https://www.google.com/maps/place/Path+of+Alignment+-+Reiki+Master,+Spiritual+Guidance,+Holistic+Esthetics/data=!4m7!3m6!1s0x4ede789779823e31:0xd0c64ccfa2840150!8m2!3d33.2944411!4d-112.0627382!16s%2Fg%2F11st319gz6!19sChIJMT6CeZd43k4RUAGEos9MxtA?authuser=0&hl=am&rclk=1"
13,healme.nyc,38-01 23rd Ave #414B,+1 646-504-5525,,https://healme.nyc/,https://www.google.com/maps/place/healme.nyc/data=!4m7!3m6!1s0x89c25948a64a050b:0x6560fc66bc52dd08!8m2!3d40.7717136!4d-73.9085829!16s%2Fg%2F11ff0qwb3q!19sChIJCwVKpkhZwokRCN1SvGb8YGU?authuser=0&hl=am&rclk=1
14,Healing with Carly,808 W 27th St,+1 832-299-5672,,http://www.healingwithcarly.com/,https://www.google.com/maps/place/Healing+with+Carly/data=!4m7!3m6!1s0x8640b91d2d2a89fd:0xedcf2129f1ee6ffa!8m2!3d29.8105985!4d-95.4129113!16s%2Fg%2F11rnftqx7h!19sChIJ_YkqLR25QIYR-m_u8Skhz-0?authuser=0&hl=am&rclk=1
15,White Light 26,8920 Wilshire Blvd,+1 310-928-9942,,https://www.whitelight26.com/,https://www.google.com/maps/place/White+Light+26/data=!4m7!3m6!1s0x80c2b9f0fef8cf1f:0x3284d914e64acd5a!8m2!3d34.0667913!4d-118.386392!16s%2Fg%2F11gk8rml2q!19sChIJH8_4_vC5woARWs1K5hTZhDI?authuser=0&hl=am&rclk=1
16,Energy That Heals You,,+1 928-900-4044,,https://www.energythathealsyou.com/,https://www.google.com/maps/place/Energy+That+Heals+You/data=!4m7!3m6!1s0x4a3fbce1efd76e71:0x943754d1e6b80fe3!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F11vt3ztqw7!19sChIJcW7X7-G8P0oR4w-45tFUN5Q?authuser=0&hl=am&rclk=1
17,Maha Rose,,+1 718-954-7590,,http://maharose.com/,https://www.google.com/maps/place/Maha+Rose/data=!4m7!3m6!1s0x89c2593fba17dbff:0x7d0203da529109c2!8m2!3d40.685337!4d-74.0028476!16s%2Fg%2F12hrmg5x2!19sChIJ_9sXuj9ZwokRwgmRUtoDAn0?authuser=0&hl=am&rclk=1
18,Health Traditions Acupuncture & Herbal Medicine Clinic,1011 West Wellington Avenue,(773) 470-6994,,https://health-traditions.com/schedule/,https://www.google.com/maps/place/Health+Traditions+Acupuncture+%26+Herbal+Medicine+Clinic/data=!4m7!3m6!1s0x880fd30652ea0615:0xc981d3f7b4b04c6f!8m2!3d41.93611!4d-87.654303!16s%2Fg%2F1tdmw6j0!19sChIJFQbqUgbTD4gRb0ywtPfTgck?authuser=0&hl=am&rclk=1
19,Reiki Haven,8191 Southwest Fwy STE 102,+1 713-614-3288,,https://www.thereikihaven.com/,https://www.google.com/maps/place/Reiki+Haven/data=!4m7!3m6!1s0x86412745d5ee66bf:0xd042d1b2a1d30b6e!8m2!3d29.6894037!4d-95.5286848!16s%2Fg%2F11qhyt1srf!19sChIJv2bu1UUnQYYRbgvTobLRQtA?authuser=0&hl=am&rclk=1
21,"Christina Galvez, Reiki Master Energy Healer",,+1 213-304-3941,,https://tidycal.com/777christina,"https://www.google.com/maps/place/Christina+Galvez,+Reiki+Master+Energy+Healer/data=!4m7!3m6!1s0x80c2c7cadbd46901:0xb30bab0403791a3f!8m2!3d34.0556487!4d-118.3839837!16s%2Fg%2F119wmzkj9!19sChIJAWnU28rHwoARPxp5AwSrC7M?authuser=0&hl=am&rclk=1"
22,"ThunderHorse Healing (Reiki, Shamanic Healing, Spiritual Counseling)",,+1 773-366-2001,,http://www.thunderhorsehealing.com/,"https://www.google.com/maps/place/ThunderHorse+Healing+%28Reiki,+Shamanic+Healing,+Spiritual+Counseling%29/data=!4m7!3m6!1s0x872b6d1c39bb9b81:0xb3097e02095777f!8m2!3d33.5314595!4d-112.0998944!16s%2Fg%2F11gsmjmhlr!19sChIJgZu7ORxtK4cRf3eVIOCXMAs?authuser=0&hl=am&rclk=1"
23,"Jissel Ravelo, M.Div.",141 W 28th St #301,+1 646-499-2399,,http://www.jisselravelo.com/,"https://www.google.com/maps/place/Jissel+Ravelo,+M.Div./data=!4m7!3m6!1s0x89c25900e5c619fb:0x9a4dd6b7dbac949a!8m2!3d40.746996!4d-73.9923065!16s%2Fg%2F11c58npjbz!19sChIJ-xnG5QBZwokRmpSs27fWTZo?authuser=0&hl=am&rclk=1"
24,Reiki Master,,+1 830-888-9008,,http://www.aliyalifecoach.com/,https://www.google.com/maps/place/Reiki+Master/data=!4m7!3m6!1s0x8640c158ccd4d0fb:0x3f7672e811c63fde!8m2!3d29.5968451!4d-95.6199218!16s%2Fg%2F11h6q86kq7!19sChIJ-9DUzFjBQIYR3j_GEehydj8?authuser=0&hl=am&rclk=1
25,Ravenous Life Healing Center by Dr. Marina Kostina,1714 W Lawrence Ave,,info@drmarinakostina.com?subject=Website%20Form,https://ravenouslifecenter.com/,https://www.google.com/maps/place/Ravenous+Life+Healing+Center+by+Dr.+Marina+Kostina/data=!4m7!3m6!1s0x880fcd951ee1117f:0xd8daccc1ded4b2a!8m2!3d41.9690623!4d-87.6716552!16s%2Fg%2F11fmpxj9yf!19sChIJfxHhHpXND4gRKkvtHcysjQ0?authuser=0&hl=am&rclk=1
26,"Reiki Energy Healing Torrance for Anxiety, Depression, Broken Heart, Panic Attacks",,+1 310-592-1813,,https://reikienergyhealingla.org/,"https://www.google.com/maps/place/Reiki+Energy+Healing+Torrance+for+Anxiety,+Depression,+Broken+Heart,+Panic+Attacks/data=!4m7!3m6!1s0x80c2b49ac0ddee05:0xce91b4da1593fbe2!8m2!3d33.8458711!4d-118.326221!16s%2Fg%2F1ptx2v21s!19sChIJBe7dwJq0woAR4vuTFdq0kc4?authuser=0&hl=am&rclk=1"
27,"Diane Domondon, NYC Reiki Master",,+1 917-725-0390,,https://www.nycreikimaster.com/,"https://www.google.com/maps/place/Diane+Domondon,+NYC+Reiki+Master/data=!4m7!3m6!1s0xabeadcf320b93c8f:0x86122899d879769d!8m2!3d40.7338558!4d-73.999097!16s%2Fg%2F11p68hmcvf!19sChIJjzy5IPPc6qsRnXZ52JkoEoY?authuser=0&hl=am&rclk=1"
28,Loving Hands Healing Hands,,+1 646-220-6772,,http://www.lovinghandshealinghands.com/,https://www.google.com/maps/place/Loving+Hands+Healing+Hands/data=!4m7!3m6!1s0x872b6fb2d5c068ff:0x82739078490e8d89!8m2!3d33.6199613!4d-112.1117549!16s%2Fg%2F11n5t8v0k9!19sChIJ_2jA1bJvK4cRiY0OSXiQc4I?authuser=0&hl=am&rclk=1
29,"Energize & Align | Reiki, Massage & Holistic Healing in Houston",,+1 832-439-4580,,http://www.energizeandalign.com/,"https://www.google.com/maps/place/Energize+%26+Align+%7C+Reiki,+Massage+%26+Holistic+Healing+in+Houston/data=!4m7!3m6!1s0x8640db1e7108b3ad:0x9730bbe9146d455c!8m2!3d29.814459!4d-95.4346126!16s%2Fg%2F11r99tfb4j!19sChIJrbMIcR7bQIYRXEVtFOm7MJc?authuser=0&hl=am&rclk=1"
32,"Nyc Reiki Institute, Nana Deleplanque",,,,https://nanareiki.com/en/,"https://www.google.com/maps/place/Nyc+Reiki+Institute,+Nana+Deleplanque/data=!4m7!3m6!1s0x89c259a5d3a0c3e1:0x82b74e7051f5749c!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F1pwfd21ry!19sChIJ4cOg06VZwokRnHT1UXBOt4I?authuser=0&hl=am&rclk=1"
33,Inner Her Alchemy Shamanic Healing & Spiritual Coach,,+1 480-438-0592,,http://innerheralchemy.com/,https://www.google.com/maps/place/Inner+Her+Alchemy+Shamanic+Healing+%26+Spiritual+Coach/data=!4m7!3m6!1s0x872b13426e3e3d17:0x87a7cb8e6382c187!8m2!3d33.4708179!4d-112.0658462!16s%2Fg%2F11rlzwhg7v!19sChIJFz0-bkITK4cRh8GCY47Lp4c?authuser=0&hl=am&rclk=1
35,Energy Healing Boutique,,+1 832-953-4552,,https://energyhealingboutique.com/,https://www.google.com/maps/place/Energy+Healing+Boutique/data=!4m7!3m6!1s0x864733021a55097d:0x47f3c550e6dba619!8m2!3d29.9392131!4d-95.4503354!16s%2Fg%2F11vwk7y6ms!19sChIJfQlVGgIzR4YRGabb5lDF80c?authuser=0&hl=am&rclk=1
36,Lakeview Healing Oasis,722 W Diversey Pkwy #102,+1 773-231-0007,,https://lakeviewhealingoasis.com/,https://www.google.com/maps/place/Lakeview+Healing+Oasis/data=!4m7!3m6!1s0x880fd30863a93cdd:0xda8245114fd131e1!8m2!3d41.9329335!4d-87.647422!16s%2Fg%2F11f4lq_xqh!19sChIJ3TypYwjTD4gR4THRTxFFgto?authuser=0&hl=am&rclk=1
37,Center for True Health,135 W 29th St #604a,+1 646-326-1115,,https://centertruehealth.com/,https://www.google.com/maps/place/Center+for+True+Health/data=!4m7!3m6!1s0x89c259a30c2f5197:0x1d4bb071ae5499b7!8m2!3d40.7474692!4d-73.9914259!16s%2Fg%2F1hm69x0y_!19sChIJl1EvDKNZwokRt5lUrnGwSx0?authuser=0&hl=am&rclk=1
38,Bee Humble Wellness- Sound Healing & Reiki,7077 E Main St Suite 5,+1 602-312-1591,,https://www.beehumblewellness.com/,https://www.google.com/maps/place/Bee+Humble+Wellness-+Sound+Healing+%26+Reiki/data=!4m7!3m6!1s0x872b75db5bb189cd:0x7c4c5bfb3f442a7!8m2!3d33.4929379!4d-111.9289139!16s%2Fg%2F11fjx9ybg9!19sChIJzYmxW9t1K4cRp0L0s7_FxAc?authuser=0&hl=am&rclk=1
39,The Healing Space,,+1 213-769-3688,,https://www.thehealingspacela.com/,https://www.google.com/maps/place/The+Healing+Space/data=!4m7!3m6!1s0x80c2c744da020b77:0x640a90d25381e318!8m2!3d34.0849988!4d-118.2870205!16s%2Fg%2F11fzznkv2d!19sChIJdwsC2kTHwoARGOOBU9KQCmQ?authuser=0&hl=am&rclk=1
40,Lighthouse Reiki & Crystals,,+1 281-881-7792,,http://www.lighthousereikihouston.com/,https://www.google.com/maps/place/Lighthouse+Reiki+%26+Crystals/data=!4m7!3m6!1s0x86409d3eb214e8f1:0x1399335d6cd6869!8m2!3d29.5550183!4d-95.1122084!16s%2Fg%2F11sgyh0j52!19sChIJ8egUsj6dQIYRaWjN1jWTOQE?authuser=0&hl=am&rclk=1
41,Intuit Healing,,+1 773-697-9278,,http://www.intuithealing.com/,https://www.google.com/maps/place/Intuit+Healing/data=!4m7!3m6!1s0x880fd298ea155555:0x9efa2c477bb2d0e5!8m2!3d41.9177474!4d-87.6910934!16s%2Fg%2F11dxnn6116!19sChIJVVUV6pjSD4gR5dCye0cs-p4?authuser=0&hl=am&rclk=1
42,"Reiki, Spiritual Healer, Energy Healing NYC",15 W 39th St 3rd floor,+1 347-486-5275,,https://cladstonemedia.com/,"https://www.google.com/maps/place/Reiki,+Spiritual+Healer,+Energy+Healing+NYC/data=!4m7!3m6!1s0x89c25997eec2d26f:0x2c333e25f9a9258c!8m2!3d40.752262!4d-73.983416!16s%2Fg%2F11ghpm6nwm!19sChIJb9LC7pdZwokRjCWp-SU-Myw?authuser=0&hl=am&rclk=1"
43,"Soul to Soul, llc",,+1 480-415-4163,,https://www.soultosoulaz.com/,"https://www.google.com/maps/place/Soul+to+Soul,+llc/data=!4m7!3m6!1s0x872b0f2af75a4811:0xc4e7c7db31815e4c!8m2!3d33.5767127!4d-111.9082644!16s%2Fg%2F1tdbx6jm!19sChIJEUha9yoPK4cRTF6BMdvH58Q?authuser=0&hl=am&rclk=1"
44,Healing With Marcus,,+1 310-980-4216,,https://www.healingwithmarcus.com/,https://www.google.com/maps/place/Healing+With+Marcus/data=!4m7!3m6!1s0x80c2b8caa70fffff:0x3b6c0ae89b74a553!8m2!3d34.0882788!4d-118.3229535!16s%2Fg%2F11qgylljm8!19sChIJ__8Pp8q4woARU6V0m-gKbDs?authuser=0&hl=am&rclk=1
45,Ascended Therapy LMT,,+1 832-488-8350,,http://www.ascendedtherapy.com/,https://www.google.com/maps/place/Ascended+Therapy+LMT/data=!4m7!3m6!1s0x8640c76356855e7f:0xa88a43f705dbb170!8m2!3d29.7487368!4d-95.3927199!16s%2Fg%2F11cp79nj44!19sChIJf16FVmPHQIYRcLHbBfdDiqg?authuser=0&hl=am&rclk=1
46,The Embody Connection - Therapeutic Massage & Reiki,,,,https://www.mollycoeling.com/,https://www.google.com/maps/place/The+Embody+Connection+-+Therapeutic+Massage+%26+Reiki/data=!4m7!3m6!1s0x880fd2115a09f5f3:0xc73f2c4c928cacd8!8m2!3d41.9767172!4d-87.6741173!16s%2Fg%2F11b7qcy9s0!19sChIJ8_UJWhHSD4gR2KyMkkwsP8c?authuser=0&hl=am&rclk=1
47,Alpha Lyrae Healing Arts,411 W 147th St 3rd Floor,+1 917-968-1935,,http://alphalyraehealingarts.com/?utm_source=gmb&utm_medium=referral,https://www.google.com/maps/place/Alpha+Lyrae+Healing+Arts/data=!4m7!3m6!1s0x89c2f76251853eff:0xbb390d2098459276!8m2!3d40.825727!4d-73.944176!16s%2Fg%2F11n666t79c!19sChIJ_z6FUWL3wokRdpJFmCANObs?authuser=0&hl=am&rclk=1
48,Heavens Light Wellness,,+1 602-799-5279,,https://heavenslightwellness.com/,https://www.google.com/maps/place/Heavens+Light+Wellness/data=!4m7!3m6!1s0x872c9fe50f29118d:0x722506c43498171c!8m2!3d33.864294!4d-112.1483796!16s%2Fg%2F11p4n42j5k!19sChIJjREpD-WfLIcRHBeYNMQGJXI?authuser=0&hl=am&rclk=1
49,Reiki Healing Los Angeles with Jasmine,8150 Pershing Dr,+1 424-257-2504,,https://www.reikihealingla.com/,https://www.google.com/maps/place/Reiki+Healing+Los+Angeles+with+Jasmine/data=!4m7!3m6!1s0x80c2b1e0a736bc11:0xb6cc439691094702!8m2!3d33.9595119!4d-118.4443076!16s%2Fg%2F11vwyfxkt8!19sChIJEbw2p-CxwoARAkcJkZZDzLY?authuser=0&hl=am&rclk=1
50,Truly Reiki Wellness and Ascension Center,11326 Stoney Meadow Dr,+1 832-552-9640,,https://www.trulyreiki.com/,https://www.google.com/maps/place/Truly+Reiki+Wellness+and+Ascension+Center/data=!4m7!3m6!1s0x8640d799a9ac5dad:0x514c82ce6dd36c48!8m2!3d29.9369037!4d-95.6600302!16s%2Fg%2F11y2fc1c57!19sChIJrV2sqZnXQIYRSGzTbc6CTFE?authuser=0&hl=am&rclk=1
51,"Here's the Rub, LLC: massage, reiki, wellness classes",4043 N Ravenswood Ave #227,+1 773-771-3404,,http://www.heather-mccutcheon.com/,"https://www.google.com/maps/place/Here%27s+the+Rub,+LLC:+massage,+reiki,+wellness+classes/data=!4m7!3m6!1s0x880fd25e932e6681:0x56de1b42de952cf8!8m2!3d41.9557819!4d-87.6735479!16s%2Fg%2F11b6dhjktt!19sChIJgWYuk17SD4gR-CyV3kIb3lY?authuser=0&hl=am&rclk=1"
52,Lucent Path Healing - Reiki,515 E 5th St Unit 1A,+1 203-658-7839,,https://www.lucentpathhealing.com/,https://www.google.com/maps/place/Lucent+Path+Healing+-+Reiki/data=!4m7!3m6!1s0x89c2599ee1c05ba9:0x18d36609364bb590!8m2!3d40.7245709!4d-73.9835248!16s%2Fg%2F11pb3ll821!19sChIJqVvA4Z5ZwokRkLVLNglm0xg?authuser=0&hl=am&rclk=1
53,Idol Hands Healing,4117 N 17th St,,,http://www.idolhandshealing.com/,https://www.google.com/maps/place/Idol+Hands+Healing/data=!4m7!3m6!1s0x872b0de4b620f3bf:0x7d2e556a69869d13!8m2!3d33.4954178!4d-112.0452617!16s%2Fg%2F11j1j4tgfh!19sChIJv_MgtuQNK4cRE52GaWpVLn0?authuser=0&hl=am&rclk=1
54,Enlighten Reiki Healing,,+1 832-670-6393,,,https://www.google.com/maps/place/Enlighten+Reiki+Healing/data=!4m7!3m6!1s0x8640cff10112fdb3:0xdedc03214c8dd639!8m2!3d29.9278217!4d-95.598944!16s%2Fg%2F11nmdcrk6v!19sChIJs_0SAfHPQIYROdaNTCED3N4?authuser=0&hl=am&rclk=1
55,Victorious Reiki,,+1 424-371-0504,,,https://www.google.com/maps/place/Victorious+Reiki/data=!4m7!3m6!1s0x80c2bb0bc59fb727:0xcd1074c873903396!8m2!3d34.0451416!4d-118.4481968!16s%2Fg%2F11r4pc9rcj!19sChIJJ7efxQu7woARljOQc8h0EM0?authuser=0&hl=am&rclk=1
56,Reiki Harmony Center,,+1 480-399-2611,,,https://www.google.com/maps/place/Reiki+Harmony+Center/data=!4m7!3m6!1s0x872b6e52a742f907:0x2f62ff5131b68309!8m2!3d33.6516565!4d-112.0879053!16s%2Fg%2F1tvq4ljs!19sChIJB_lCp1JuK4cRCYO2MVH_Yi8?authuser=0&hl=am&rclk=1
57,Healing Foundations,,+1 773-880-9939,,http://www.healingfound.com/,https://www.google.com/maps/place/Healing+Foundations/data=!4m7!3m6!1s0x880fd26115a1e501:0xb418bac6d8771aa7!8m2!3d41.9396493!4d-87.6814137!16s%2Fg%2F1wk7rg5s!19sChIJAeWhFWHSD4gRpxp32Ma6GLQ?authuser=0&hl=am&rclk=1
58,Let's Heal NYC - Reiki & Sound Healing,70 Lenox Rd,+1 646-245-4245,,https://letshealnyc.com/,https://www.google.com/maps/place/Let%27s+Heal+NYC+-+Reiki+%26+Sound+Healing/data=!4m7!3m6!1s0x89c25b8c74d65d7f:0x32b5f89cb2b59af2!8m2!3d40.6534018!4d-73.9571537!16s%2Fg%2F11ptq3hl6w!19sChIJf13WdIxbwokR8pq1spz4tTI?authuser=0&hl=am&rclk=1
59,Jessica Jocelyn,,+1 832-646-1236,,http://www.jessicajocelyn.com/,https://www.google.com/maps/place/Jessica+Jocelyn/data=!4m7!3m6!1s0x8640db8232237d7d:0xacd13367c86df969!8m2!3d29.8606394!4d-95.8400884!16s%2Fg%2F11f6d81q2n!19sChIJfX0jMoLbQIYRafltyGcz0aw?authuser=0&hl=am&rclk=1
61,Indigo Intuition,1120 S Grand Ave,+1 213-444-1513,,https://www.indigo-intuition.com/,https://www.google.com/maps/place/Indigo+Intuition/data=!4m7!3m6!1s0x80c2c7c50747b84f:0x91da38cb3742be74!8m2!3d34.0404585!4d-118.2624381!16s%2Fg%2F11h10zj81b!19sChIJT7hHB8XHwoARdL5CN8s42pE?authuser=0&hl=am&rclk=1
62,Embrace Your Journey Reiki,1100 Lake St Suite LL30A,+1 312-720-2638,,http://eyjreiki.com/,https://www.google.com/maps/place/Embrace+Your+Journey+Reiki/data=!4m7!3m6!1s0x880e349bc23fa283:0xb142cd138367b740!8m2!3d41.8889519!4d-87.8029547!16s%2Fg%2F11xvpbxl_!19sChIJg6I_wps0DogRQLdngxPNQrE?authuser=0&hl=am&rclk=1
63,Unstruck Sound Reiki NYC,32 Union Square E #615,+1 718-473-6783,,http://unstrucksoundnyc.com/,https://www.google.com/maps/place/Unstruck+Sound+Reiki+NYC/data=!4m7!3m6!1s0x89c25b1a25eada13:0x3dc7b2ebe06e4afc!8m2!3d40.7356101!4d-73.9892358!16s%2Fg%2F11mv4vk7pd!19sChIJE9rqJRpbwokR_Epu4Ouyxz0?authuser=0&hl=am&rclk=1
64,Santoki Healing,,,,https://linktr.ee/santokihealing,https://www.google.com/maps/place/Santoki+Healing/data=!4m7!3m6!1s0x8fb26c534dd27591:0x815ce108c2c28c0a!8m2!3d35.1705075!4d-79.86097!16s%2Fg%2F11t9hxxwb1!19sChIJkXXSTVNsso8RCozCwgjhXIE?authuser=0&hl=am&rclk=1
65,Angel Marie Inc. & Lightworkers Gifts,,+1 623-334-3393,,http://www.angelmarieinc.com/,https://www.google.com/maps/place/Angel+Marie+Inc.+%26+Lightworkers+Gifts/data=!4m7!3m6!1s0x872b12b7450acdab:0x7e32b271073d4392!8m2!3d33.5097773!4d-112.0758149!16s%2Fg%2F1tf6mp1c!19sChIJq80KRbcSK4cRkkM9B3GyMn4?authuser=0&hl=am&rclk=1
66,Reiki Healing Practitioner,,+1 940-389-9284,,http://www.reikihealingpractitioner.com/,https://www.google.com/maps/place/Reiki+Healing+Practitioner/data=!4m7!3m6!1s0x880fa85becdb35bd:0x5c2addba8e23903c!8m2!3d42.0498009!4d-88.083463!16s%2Fg%2F11gc29fm0l!19sChIJvTXb7FuoD4gRPJAjjrrdKlw?authuser=0&hl=am&rclk=1
67,"Michelle Garrow Reiki, NYC",100 Lafayette St # 304,+1 332-323-7399,,http://www.michellegarrowreiki.com/,"https://www.google.com/maps/place/Michelle+Garrow+Reiki,+NYC/data=!4m7!3m6!1s0x89c25b90cd1ad9d7:0xbd7d7e1413d9331a!8m2!3d40.717803!4d-74.0014147!16s%2Fg%2F11wfj_4wlh!19sChIJ19kazZBbwokRGjPZExR-fb0?authuser=0&hl=am&rclk=1"
68,Texas Healing Hands,,,,http://www.texashealinghands.com/,https://www.google.com/maps/place/Texas+Healing+Hands/data=!4m7!3m6!1s0x4b359f33f3a8fdff:0xe3103e83da42989a!8m2!3d29.836095!4d-95.46119!16s%2Fg%2F11kh_hr334!19sChIJ__2o8zOfNUsRmphC2oM-EOM?authuser=0&hl=am&rclk=1
69,"So Harmonious: Shamanic, Reiki, Hyno, & Sound Healing",,,,http://www.soharmonious.com/,"https://www.google.com/maps/place/So+Harmonious:+Shamanic,+Reiki,+Hyno,+%26+Sound+Healing/data=!4m7!3m6!1s0x872b751947104679:0x172128672d2f73fc!8m2!3d33.6043256!4d-112.0113076!16s%2Fg%2F11rx287146!19sChIJeUYQRxl1K4cR_HMvLWcoIRc?authuser=0&hl=am&rclk=1"
70,Hollywood Healing Club by Shannon Gallant,,+1 949-423-5051,,https://mndbdy.ly,https://www.google.com/maps/place/Hollywood+Healing+Club+by+Shannon+Gallant/data=!4m7!3m6!1s0x80c2b901a3a360a1:0xa9fe06cf2c6d447!8m2!3d34.0842708!4d-118.3443029!16s%2Fg%2F11hj2px663!19sChIJoWCjowG5woARR9TG8mzgnwo?authuser=0&hl=am&rclk=1
71,Michael Elder LMT & Reiki Master,5115 N Ravenswood Ave,+1 773-680-7275,,http://www.michaelelderlmt.com/,https://www.google.com/maps/place/Michael+Elder+LMT+%26+Reiki+Master/data=!4m7!3m6!1s0x880fd31949d70c17:0xca3bd238c5844d37!8m2!3d41.9748397!4d-87.6740353!16s%2Fg%2F11t4_rwxq8!19sChIJFwzXSRnTD4gRN02ExTjSO8o?authuser=0&hl=am&rclk=1
72,Reiki Healing with Sandrine,46-04 Skillman Ave,,,https://www.sandrinemarlier.com/reiki,https://www.google.com/maps/place/Reiki+Healing+with+Sandrine/data=!4m7!3m6!1s0x273d449681addeaf:0x230c03dd5330d3eb!8m2!3d40.7464109!4d-73.9178143!16s%2Fg%2F11wwfqkhml!19sChIJr96tgZZEPScR69MwU90DDCM?authuser=0&hl=am&rclk=1
73,Tiger Lily Energy Healing,1341 E Mescal St,+1 916-318-8719,,,https://www.google.com/maps/place/Tiger+Lily+Energy+Healing/data=!4m7!3m6!1s0x872b6d6ac65ccb7f:0xd6113f9256b0a96b!8m2!3d33.5867882!4d-112.0526661!16s%2Fg%2F11h6g0p374!19sChIJf8tcxmptK4cRa6mwVpI_EdY?authuser=0&hl=am&rclk=1
